theta 	horizontal_polarization_intensity 	vertical_polarization_intensity 	x_coordinate 	y_coordinate 	r 	pixel_count
-0.3076 	10629 	39286 	516.0844 	284.11 	0.2706 	20
-0.308 	11346 	46171 	515.4804 	286.0115 	0.2457 	20
-0.3092 	11690 	43151 	514.8749 	287.9123 	0.2709 	21
-0.3113 	9283 	35447 	514.2664 	289.8118 	0.2619 	22
-0.3142 	8196 	33233 	513.6532 	291.7094 	0.2466 	20
-0.3179 	10289 	37843 	513.034 	293.6044 	0.2719 	20
-0.3225 	10791 	42260 	512.4071 	295.4962 	0.2553 	24
-0.3279 	11168 	34828 	511.7711 	297.3841 	0.3207 	20
-0.3341 	13055 	43663 	511.1243 	299.2675 	0.299 	20
-0.3412 	10987 	37628 	510.4653 	301.1457 	0.292 	22
-0.3491 	9861 	32142 	509.7926 	303.0181 	0.3068 	21
-0.3578 	13689 	41251 	509.1046 	304.884 	0.3318 	21
-0.3674 	10945 	35571 	508.3998 	306.7429 	0.3077 	20
-0.3778 	10299 	36372 	507.6768 	308.594 	0.2832 	20
-0.389 	10672 	35222 	506.9338 	310.4367 	0.303 	20
-0.4007 	10412 	33942 	506.1697 	312.2704 	0.3068 	21
-0.4125 	14103 	39792 	505.3844 	314.0946 	0.3544 	21
-0.4245 	14040 	36801 	504.5775 	315.9088 	0.3815 	21
-0.4367 	12887 	36429 	503.749 	317.7125 	0.3538 	20
-0.4491 	14466 	40146 	502.8986 	319.5053 	0.3603 	23
-0.4617 	12092 	33286 	502.0263 	321.2866 	0.3633 	18
-0.4745 	16214 	39485 	501.1319 	323.056 	0.4106 	23
-0.4874 	13377 	29113 	500.2152 	324.8129 	0.4595 	19
-0.5005 	14429 	33843 	499.2761 	326.557 	0.4264 	21
-0.5139 	11363 	28758 	498.3145 	328.2877 	0.3951 	20
-0.5274 	14638 	33184 	497.3301 	330.0045 	0.4411 	21
-0.5412 	15251 	29806 	496.3229 	331.7068 	0.5117 	21
-0.5551 	14405 	28536 	495.2927 	333.3944 	0.5048 	21
-0.5691 	15775 	28963 	494.2393 	335.0667 	0.5447 	20
-0.5829 	13628 	28914 	493.163 	336.7234 	0.4713 	21
-0.5963 	13586 	22943 	492.0646 	338.3649 	0.5922 	20
-0.6092 	19902 	25954 	490.9448 	339.9917 	0.7668 	20
-0.6216 	17506 	25510 	489.8046 	341.604 	0.6862 	22
-0.6336 	13881 	29437 	488.6449 	343.2023 	0.4715 	20
-0.6451 	17876 	31788 	487.4664 	344.7868 	0.5624 	21
-0.6562 	17082 	30825 	486.27 	346.358 	0.5542 	21
-0.6668 	14767 	24019 	485.0565 	347.9163 	0.6148 	21
-0.677 	15372 	24077 	483.8268 	349.462 	0.6385 	21
-0.6867 	19077 	25387 	482.5818 	350.9954 	0.7514 	21
-0.696 	18933 	24636 	481.3223 	352.517 	0.7685 	22
-0.7048 	22551 	23904 	480.049 	354.027 	0.9434 	20
-0.7132 	20243 	25515 	478.763 	355.526 	0.7934 	21
-0.7214 	20663 	23558 	477.4649 	357.0142 	0.8771 	22
-0.7299 	18023 	20479 	476.1549 	358.4912 	0.8801 	20
-0.7388 	20151 	24036 	474.8324 	359.9565 	0.8384 	21
-0.7482 	26216 	25874 	473.497 	361.4091 	1.0132 	24
-0.758 	26231 	24018 	472.1482 	362.8484 	1.0921 	21
-0.7682 	21053 	17293 	470.7854 	364.2737 	1.2174 	16
-0.779 	28473 	25278 	469.4082 	365.6841 	1.1264 	23
-0.7902 	27642 	22922 	468.0161 	367.0788 	1.2059 	22
-0.8018 	31372 	24635 	466.6085 	368.4572 	1.2735 	23
-0.814 	24202 	19609 	465.1849 	369.8184 	1.2342 	18
-0.8265 	23489 	17953 	463.7449 	371.1616 	1.3084 	21
-0.8396 	21607 	18513 	462.288 	372.4863 	1.1671 	22
-0.853 	26094 	17288 	460.8136 	373.7915 	1.5094 	21
-0.8669 	29994 	17333 	459.3213 	375.0765 	1.7305 	21
-0.881 	25943 	16853 	457.8106 	376.3407 	1.5394 	21
-0.895 	27054 	17645 	456.2819 	377.5839 	1.5332 	21
-0.9087 	31134 	20348 	454.7358 	378.8061 	1.5301 	21
-0.9222 	30882 	20184 	453.1727 	380.0075 	1.53 	21
-0.9355 	31869 	18572 	451.5934 	381.188 	1.716 	20
-0.9486 	31637 	17374 	449.9982 	382.3478 	1.8209 	21
-0.9616 	29787 	19796 	448.3878 	383.487 	1.5047 	21
-0.9743 	31658 	17985 	446.7628 	384.6055 	1.7602 	22
-0.9868 	25925 	16159 	445.1237 	385.7034 	1.6044 	20
-0.9992 	34092 	17324 	443.471 	386.7808 	1.9679 	21
-1.0114 	34402 	15202 	441.8054 	387.8378 	2.263 	21
-1.0234 	36621 	15209 	440.1274 	388.8743 	2.4079 	20
-1.0352 	36164 	16995 	438.4375 	389.8906 	2.1279 	20
-1.0469 	41913 	18005 	436.7364 	390.8865 	2.3279 	22
-1.0584 	36525 	17041 	435.0244 	391.8624 	2.1434 	20
-1.0695 	37988 	15383 	433.302 	392.8186 	2.4695 	20
-1.0804 	38221 	14648 	431.5693 	393.7557 	2.6093 	20
-1.091 	44568 	16930 	429.8267 	394.6741 	2.6325 	23
-1.1013 	32421 	12228 	428.0743 	395.5743 	2.6514 	19
-1.1113 	37748 	14362 	426.3126 	396.4569 	2.6283 	22
-1.121 	41893 	14091 	424.5416 	397.3223 	2.973 	21
-1.1305 	34922 	12938 	422.7618 	398.1711 	2.6992 	20
-1.1396 	39121 	13871 	420.9733 	399.0037 	2.8203 	21
-1.1484 	42871 	12910 	419.1764 	399.8206 	3.3208 	20
-1.157 	40392 	12984 	417.3715 	400.6224 	3.1109 	20
-1.1652 	43933 	13661 	415.5586 	401.4094 	3.2159 	20
-1.1732 	46466 	13927 	413.7382 	402.1823 	3.3364 	21
-1.1811 	44926 	14296 	411.9105 	402.9415 	3.1426 	20
-1.1894 	46723 	13514 	410.0756 	403.6865 	3.4574 	22
-1.1985 	37517 	11679 	408.2334 	404.416 	3.2123 	20
-1.2083 	45546 	12579 	406.3839 	405.1282 	3.6208 	21
-1.2189 	44092 	12675 	404.5268 	405.8216 	3.4787 	21
-1.2302 	49165 	11786 	402.6622 	406.4948 	4.1715 	19
-1.2423 	52295 	11509 	400.79 	407.1459 	4.5438 	20
-1.2552 	54388 	12804 	398.9101 	407.7736 	4.2477 	23
